"model","main_change","recommendation","best_epoch","best_metric_name","label_smoothing","lambda_lat","lambda_phys","lattice_mode","residual_scale","strong_lattice_head","normal_phase_acc_pct","normal_phase_top3_acc_pct","normal_phase_top5_acc_pct","normal_crystal_acc_pct","normal_lattice_mae_A","normal_lattice_mae_a_A","normal_lattice_mae_b_A","normal_lattice_mae_c_A","normal_bragg_deg","hard_phase_acc_pct","hard_phase_top3_acc_pct","hard_phase_top5_acc_pct","hard_crystal_acc_pct","hard_lattice_mae_A","hard_lattice_mae_a_A","hard_lattice_mae_b_A","hard_lattice_mae_c_A","hard_bragg_deg","val_phase_acc_pct","val_crystal_acc_pct","val_lattice_mae_A","val_bragg_deg","source"
"residual_strong_lat003_ls005_v2_best_lattice","V2 lattice-best checkpoint from epoch 40.","Recommended final checkpoint: best normal lattice MAE with excellent phase and crystal accuracy.","40","lattice_mae_mean","0.05","0.03","0","phase_residual","0.02","True","99.8792","100","100","99.9275","0.04539","0.035135","0.037873","0.063162","0.311702","97.7295","99.5894","99.7826","97.1256","0.44811","0.362858","0.385404","0.596067","2.131811","99.686","99.8309","0.045582","0.313482","results/residual_strong_lat003_ls005_v2_best_lattice/metrics_summary.json"
"residual_strong_lat003_ls005","Phase-residual plus strong lattice head, lambda_lat=0.03.","Recommended main model for normal precision and physics-informed workflow.","23","phase_accuracy","0.05","0.03","0","phase_residual","0.02","True","99.7585","100","100","99.8551","0.048137","0.036108","0.039039","0.069264","0.307902","97.7536","99.5411","99.5652","96.6908","0.480591","0.384604","0.401492","0.655676","2.235116","99.7101","99.8551","0.047968","0.307215","results/residual_strong_lat003_ls005/metrics_summary.json"
"residual_strong_lat003_ls005_v2","V2 run of phase-residual plus strong lattice head, 40 epochs.","Primary checkpoint selected by validation phase accuracy.","23","phase_accuracy","0.05","0.03","0","phase_residual","0.02","True","99.7585","100","100","99.8551","0.048137","0.036108","0.039039","0.069264","0.307902","97.7536","99.5411","99.5652","96.6908","0.480591","0.384604","0.401492","0.655676","2.235116","99.7101","99.8551","0.047968","0.307215","results/residual_strong_lat003_ls005_v2/metrics_summary.json"
"residual_strong_lat001_ls005","Phase-residual plus strong lattice head, lambda_lat=0.01.","Best normal phase accuracy; normal lattice is also excellent.","23","phase_accuracy","0.05","0.01","0","phase_residual","0.02","True","99.8551","100","100","99.8309","0.049338","0.037647","0.04015","0.070216","0.306289","97.4155","99.3961","99.5411","96.1594","0.505225","0.401523","0.427462","0.686691","2.328049","99.7101","99.8309","0.04937","0.30703","results/residual_strong_lat001_ls005/metrics_summary.json"
"residual_label_smoothing_005","Phase-residual lattice, residual_scale=0.02.","Strong physics-informed story and excellent normal lattice accuracy.","29","phase_accuracy","0.05","0.01","0","phase_residual","0.02","False","99.7585","100","100","99.8551","0.051595","0.042327","0.044195","0.068265","0.336339","97.6812","99.6135","99.8309","97.4638","0.401814","0.319481","0.347678","0.538284","1.977624","99.7101","99.8309","0.052111","0.339725","results/residual_label_smoothing_005/metrics_summary.json"
"residual_strong_scale001_lat003_ls005","Phase-residual plus strong lattice head, residual_scale=0.01, lambda_lat=0.03.","Worse than residual_scale=0.02.","30","phase_accuracy","0.05","0.03","0","phase_residual","0.01","True","99.8309","100","100","99.8551","0.071762","0.054238","0.059562","0.101486","0.430943","97.1498","99.3961","99.4928","96.4493","0.562369","0.450062","0.476024","0.761022","2.591139","99.7343","99.8068","0.073511","0.441302","results/residual_strong_scale001_lat003_ls005/metrics_summary.json"
"residual_scale_001","Phase-residual lattice, residual_scale=0.01.","Residual scale is too conservative for deployable hard performance.","30","phase_accuracy","0.05","0.01","0","phase_residual","0.01","False","99.7585","100","100","99.8792","0.07587","0.057908","0.063102","0.106599","0.472213","97.5604","99.5894","99.7101","97.0773","0.488685","0.380463","0.415482","0.670111","2.329101","99.7343","99.8068","0.075847","0.474542","results/residual_scale_001/metrics_summary.json"
"combo_stage2_lattice_late","Combination stage-2 late fine-tune.","Better than weak stage-2 runs, but not the final choice.","8","lattice_mae_mean","0","0.1","0","","","False","99.8309","100","100","99.9034","0.119779","0.091533","0.094768","0.173035","0.607287","97.1014","99.2271","99.4928","94.9275","0.766079","0.613496","0.640241","1.044499","3.357455","99.6377","99.8068","0.123419","0.628752","results/combo_stage2_lattice_late/metrics_summary.json"
"stage2_lattice_late","Stage-2 fine-tune late backbone and lattice head.","Some improvement, but weaker than later methods.","8","lattice_mae_mean","0","0.1","0","","","False","99.7826","100","100","99.8309","0.135605","0.105576","0.107772","0.193468","0.679326","96.1594","98.744","98.9614","93.43","0.772459","0.613301","0.650928","1.053148","3.4059","99.6135","99.686","0.141326","0.695027","results/stage2_lattice_late/metrics_summary.json"
"combo_stage1_ls005","Label-smoothing stage-1 run.","Similar role to label_smoothing_005.","24","phase_accuracy","0.05","0.01","0","","","False","99.8551","100","100","99.9275","0.14492","0.117376","0.121629","0.195754","0.741641","97.2705","99.3478","99.5169","96.1836","0.711338","0.577421","0.605041","0.951551","3.174191","99.686","99.8309","0.149652","0.773984","results/combo_stage1_ls005/metrics_summary.json"
